,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
0,2,0,10,0,10,1,0,0,0,13,0,0,4,0,0,2,0,0,0,0,2,2,4,0,0,0,1,0,0,0,5.269230769230769,0,1,1,4,26
1,6,1,26,0,25,10,0,0,2,31,16,0,5,1,0,13,7,0,0,1,2,4,15,6,2,0,2,1,0,0,6.099009900990099,1,16,2,13,101
2,2,0,10,0,7,6,1,0,1,14,3,1,9,0,0,8,6,0,0,2,4,5,3,1,3,6,0,1,1,1,5.327272727272727,3,3,1,9,55
3,3,0,10,0,10,8,0,1,1,14,0,0,6,0,0,12,4,0,0,0,4,2,5,1,2,2,0,0,1,0,5.043478260869565,1,9,1,3,46
4,5,1,22,1,20,11,1,0,3,27,2,0,6,0,0,6,5,0,0,0,0,2,6,4,2,2,5,1,0,1,5.529411764705882,1,9,2,5,68
5,2,0,12,1,8,5,0,0,0,16,0,0,3,0,0,5,4,0,0,0,0,0,7,0,3,1,3,0,0,0,5.3023255813953485,0,2,1,6,43
6,2,0,7,0,5,3,0,0,0,8,0,0,2,0,0,4,0,0,0,0,1,1,6,1,1,0,1,0,0,1,4.956521739130435,0,0,1,5,23
7,2,1,11,0,16,2,0,0,0,14,4,0,6,0,0,18,6,0,0,1,3,4,2,3,2,8,7,0,1,0,4.689655172413793,1,8,0,9,58
8,0,0,12,0,8,3,0,1,1,15,12,0,5,0,0,9,7,0,0,0,1,2,3,1,1,1,8,1,0,1,5.684210526315789,1,1,2,8,57
9,1,0,18,0,10,8,1,0,3,29,27,0,4,0,0,4,10,0,0,1,4,8,8,3,0,0,6,2,0,2,5.766355140186916,2,3,3,10,107
10,4,1,16,0,16,8,0,0,0,25,7,0,11,2,0,19,10,0,0,1,8,7,14,2,7,6,6,1,1,3,5.660194174757281,1,9,3,13,103
11,3,0,13,0,9,6,0,0,4,12,1,0,3,0,0,10,9,2,0,0,2,8,1,2,3,0,6,0,0,1,5.019607843137255,1,0,1,7,51
12,5,0,10,1,16,10,3,0,4,28,5,0,3,0,0,11,8,3,0,1,2,5,5,6,4,1,3,3,0,0,5.658536585365853,1,2,3,9,82
13,4,0,15,0,12,4,0,0,0,17,1,0,5,0,0,6,6,0,0,0,0,2,3,0,2,1,3,0,0,3,6.090909090909091,0,1,2,6,44
14,2,0,6,0,8,4,0,0,1,7,11,0,5,0,0,5,4,0,0,0,1,3,7,0,3,1,0,1,0,0,6.333333333333333,0,2,1,4,39
15,5,1,22,0,17,4,0,0,3,24,9,0,7,0,0,6,2,0,0,0,3,8,3,0,5,1,5,0,0,1,5.545454545454546,0,4,2,8,66
16,3,0,14,1,14,3,0,1,1,26,11,0,5,0,0,8,3,0,0,0,1,2,5,0,1,1,3,2,0,0,6.189655172413793,1,4,2,6,58
17,4,0,14,0,12,9,0,0,1,14,2,0,7,0,0,9,6,0,0,0,4,3,2,3,4,2,8,0,0,1,5.983333333333333,0,3,2,10,60
18,1,1,13,0,17,4,0,0,2,16,8,0,5,0,0,7,2,2,0,0,0,3,2,3,1,1,3,0,0,0,5.537037037037037,0,1,1,6,54
19,2,0,14,0,8,4,1,0,0,21,7,0,5,0,0,5,2,0,0,1,4,2,8,2,1,0,0,1,1,1,5.928571428571429,2,4,2,8,56
20,2,0,7,0,9,2,0,0,1,14,0,0,3,0,0,2,4,0,0,1,1,1,2,1,1,1,0,0,0,0,5.777777777777778,0,0,2,3,27
21,4,0,6,0,2,1,0,0,0,8,0,0,2,0,0,2,1,0,0,0,1,2,0,2,0,0,3,0,0,0,5.375,0,0,1,2,16
22,7,0,10,0,9,6,0,0,0,24,5,0,6,0,0,11,7,0,0,1,5,7,16,3,4,1,1,3,0,0,5.986666666666666,2,5,2,8,75
23,2,0,8,0,10,3,0,0,0,17,0,0,1,0,0,6,1,0,0,1,1,1,4,1,0,1,2,1,0,2,5.181818181818182,1,4,1,4,33
24,1,1,15,0,20,8,0,0,1,19,6,0,5,0,0,4,7,1,0,0,4,4,11,1,4,0,1,1,0,1,5.406779661016949,1,1,2,7,59
25,5,0,23,0,16,14,0,0,2,37,2,0,7,0,0,14,12,0,0,1,7,11,3,4,3,4,14,1,0,4,5.552631578947368,2,4,3,10,114
26,4,0,3,0,4,1,0,0,1,3,1,0,0,0,0,6,5,0,0,0,2,4,2,0,1,2,1,0,0,0,4.875,0,1,1,2,16
27,8,1,27,0,19,9,0,0,7,30,1,0,11,0,0,11,8,0,0,0,2,10,0,5,3,8,6,1,0,3,5.752577319587629,0,8,3,13,97
28,4,0,12,0,8,3,0,0,1,18,7,0,1,0,0,5,4,0,0,2,6,4,8,4,1,0,1,0,0,0,5.862745098039215,0,2,2,6,51
29,2,0,17,0,16,10,1,0,0,21,6,0,7,0,0,20,3,0,0,1,4,2,13,2,2,2,4,2,1,2,5.921052631578948,3,3,3,9,76
30,3,0,16,0,22,11,1,0,1,28,7,0,7,0,0,13,2,0,0,0,1,2,3,4,2,3,11,1,0,1,5.805194805194805,1,5,1,8,77
31,1,1,15,0,15,9,0,0,1,21,1,0,5,0,0,7,2,0,0,1,1,1,6,2,0,1,3,2,0,1,5.39622641509434,1,0,1,6,53
32,0,0,3,0,2,1,0,0,0,4,1,0,2,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,5.5,0,4,1,2,12
33,2,0,10,0,4,6,2,0,1,9,1,1,4,0,0,11,5,0,0,2,0,2,0,5,1,8,4,0,1,4,5.386363636363637,2,3,0,6,44
34,1,0,7,0,7,2,0,0,3,6,0,0,0,0,0,5,0,0,0,0,1,3,4,2,1,0,1,1,0,0,6.333333333333333,1,0,1,3,18
35,6,0,22,0,21,10,0,0,5,29,2,0,4,0,0,8,13,0,0,0,3,8,8,2,5,3,4,4,0,0,6.055555555555555,3,0,3,9,90
36,6,2,23,0,16,4,0,1,1,32,0,0,4,0,0,6,5,0,0,0,2,4,10,1,3,1,2,1,0,1,5.657534246575342,0,2,2,8,73
37,11,1,24,0,26,9,2,0,8,35,2,0,9,0,0,18,14,2,0,0,4,13,7,1,9,3,7,1,0,3,5.764705882352941,3,2,3,12,102
38,2,1,14,0,7,6,0,0,1,15,0,0,5,0,0,4,3,0,0,0,3,3,2,0,2,0,4,0,1,1,5.0,2,0,1,7,43
39,5,0,11,0,8,3,0,0,1,11,4,0,6,0,0,8,3,0,0,1,2,4,2,3,1,4,5,0,0,1,5.465116279069767,0,2,2,6,43
40,3,0,12,1,8,3,0,0,1,15,0,0,4,0,0,9,1,0,0,0,1,3,1,1,1,0,7,0,0,1,4.897435897435898,1,1,1,4,39
41,3,1,18,1,17,9,0,0,1,32,2,0,6,0,0,12,6,0,0,0,1,3,5,2,1,1,8,0,0,3,5.532467532467533,0,2,2,9,77
42,2,0,9,0,7,1,1,0,2,12,0,0,5,0,0,7,1,0,0,0,0,4,0,0,4,3,2,0,0,0,4.894736842105263,0,1,2,7,38
43,7,0,19,1,14,4,0,0,1,20,8,0,7,0,0,8,2,0,0,1,3,5,3,6,2,4,6,1,0,0,5.878787878787879,0,7,2,9,66
44,7,2,20,0,12,4,0,2,6,30,1,0,10,0,0,18,6,3,0,1,1,6,0,5,0,3,13,2,1,2,5.867469879518072,2,2,2,8,83
45,2,0,14,0,7,5,0,0,0,17,0,0,3,0,0,4,4,0,0,0,0,1,4,2,1,2,3,0,0,0,5.4186046511627906,0,2,1,4,43
46,1,1,11,0,9,2,2,0,0,11,0,0,4,0,0,3,3,0,0,1,1,0,3,0,0,0,0,0,0,0,5.346153846153846,0,2,1,2,26
47,11,0,25,0,21,15,0,0,2,40,6,0,5,0,0,24,3,0,0,2,3,6,22,4,10,0,1,0,0,5,5.396551724137931,0,3,3,13,116
48,9,1,25,0,30,15,0,0,0,49,10,0,8,0,0,22,7,0,1,3,10,8,5,9,7,3,13,1,1,2,5.598484848484849,1,7,3,11,132
49,1,0,7,0,6,5,1,0,0,15,13,0,4,0,0,2,6,0,0,0,0,1,7,2,2,1,1,1,0,0,5.596153846153846,0,4,2,10,52
