,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
0,5,2,18,0,15,19,1,0,5,32,5,0,9,0,0,21,10,0,1,0,11,10,1,6,1,4,20,1,0,6,5.163934426229508,1,11,14,122
1,1,0,5,0,3,1,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,2,0,1,0,5.555555555555555,1,0,2,9
2,2,0,16,0,12,2,2,0,0,15,13,0,0,0,0,5,15,0,0,0,6,6,4,0,2,3,2,0,0,0,4.825396825396825,0,11,5,63
3,4,0,10,0,16,6,0,0,0,14,3,0,4,0,0,15,4,0,0,1,3,3,9,1,1,4,2,0,0,0,5.9298245614035086,0,2,5,57
4,4,0,17,0,14,12,1,0,4,28,5,0,7,0,0,15,8,0,0,0,5,6,3,4,3,2,5,0,0,4,5.963855421686747,0,5,9,83
5,2,0,9,0,6,2,0,0,3,11,0,0,0,0,0,6,4,0,0,0,2,5,2,0,0,0,4,0,0,1,5.571428571428571,0,0,3,28
6,1,0,18,0,13,7,2,0,3,23,3,0,0,0,0,10,5,0,0,0,2,5,5,3,3,1,11,0,0,3,5.367647058823529,1,1,8,68
7,4,0,7,0,8,7,1,0,2,19,1,0,3,0,0,17,5,0,0,0,7,9,3,2,1,2,6,0,0,0,5.149253731343284,0,3,8,67
8,2,0,12,0,12,2,0,0,2,18,7,0,4,0,0,10,1,0,0,0,4,4,2,3,2,3,6,0,0,0,5.344827586206897,0,4,7,58
9,2,0,2,0,1,0,1,0,1,4,2,0,3,0,0,2,2,0,0,0,1,2,0,1,0,0,2,1,0,2,5.0588235294117645,0,3,2,17
10,5,0,17,0,20,5,2,0,3,24,5,0,2,0,0,7,7,0,0,2,3,6,0,2,4,0,11,0,1,2,6.075757575757576,1,4,5,66
11,6,0,20,0,19,9,1,0,1,41,4,0,10,0,0,16,11,0,0,1,9,6,13,6,6,1,3,4,1,1,5.8076923076923075,3,6,10,104
12,2,0,7,0,6,3,0,0,2,11,0,0,0,0,0,9,6,0,0,0,1,2,0,2,1,1,8,1,0,3,5.1891891891891895,0,1,5,37
13,2,0,5,0,5,1,0,0,1,5,0,0,0,0,0,2,1,0,0,0,0,2,0,2,0,0,2,0,0,1,5.5,0,1,2,16
14,8,0,18,0,12,4,0,0,2,29,5,1,7,0,0,19,2,0,0,0,6,7,7,2,2,3,10,0,0,5,5.658823529411765,0,6,8,85
15,5,0,15,0,14,6,1,0,2,30,4,0,2,0,0,21,5,1,0,0,2,4,5,6,3,0,14,0,1,3,5.172413793103448,1,6,11,87
16,1,0,20,1,27,17,1,0,4,25,7,0,6,0,0,17,14,0,0,0,4,5,3,4,3,1,16,3,0,3,5.742574257425742,3,6,7,101
17,7,0,25,0,18,2,0,0,4,43,13,0,2,0,0,26,9,0,0,0,12,9,11,5,3,3,6,2,2,5,5.353448275862069,2,8,9,116
18,0,1,25,0,23,2,0,0,1,32,3,0,5,0,1,25,7,0,0,0,3,3,11,2,2,3,8,2,0,5,5.482758620689655,1,0,10,87
19,3,0,6,0,7,2,0,0,1,11,1,0,2,0,0,6,4,0,0,0,0,2,3,1,2,0,1,1,0,0,5.821428571428571,0,1,2,28
20,0,0,3,0,2,1,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,1,4.636363636363637,0,0,3,11
21,0,0,3,0,3,0,0,0,1,5,2,0,0,0,0,6,1,0,0,0,4,4,2,0,0,1,3,1,1,0,5.0,1,3,3,18
22,1,0,1,0,2,0,0,0,1,4,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,2,4.0,0,0,2,12
23,1,0,13,0,8,6,0,0,2,19,1,0,1,0,0,7,9,0,0,1,5,6,1,5,2,4,7,0,1,1,5.60377358490566,1,1,7,53
24,2,0,6,0,5,0,0,0,3,7,1,0,0,0,0,7,8,1,0,0,4,6,2,0,2,0,6,0,2,1,4.78125,2,1,4,32
25,2,0,8,0,8,3,1,0,2,16,2,0,2,0,0,14,2,0,0,0,1,4,3,1,0,2,1,1,0,0,4.880952380952381,0,2,5,42
26,2,0,17,0,9,2,0,0,3,18,6,0,1,0,0,6,2,0,0,0,3,6,6,2,0,0,4,0,0,4,5.395833333333333,1,4,5,48
27,3,0,33,0,16,8,0,0,4,47,8,0,8,0,0,21,14,0,0,0,12,12,3,3,2,5,20,2,1,7,4.537974683544304,4,11,21,158
28,8,0,22,0,20,10,0,0,1,38,8,1,3,0,0,20,3,0,0,0,10,9,6,2,3,2,13,1,0,1,6.0,1,2,11,100
29,2,0,6,0,6,3,0,0,2,8,2,0,2,0,0,7,2,0,0,1,4,5,2,2,0,1,0,0,1,0,5.142857142857143,1,2,3,28
30,2,0,8,0,8,1,0,0,1,16,0,0,1,0,0,6,2,0,0,0,1,1,4,2,1,1,2,1,0,3,5.529411764705882,1,3,4,34
31,0,0,7,0,8,2,0,2,2,12,2,0,2,0,0,13,2,0,0,1,3,4,4,2,1,0,5,0,1,1,5.128205128205129,1,0,7,39
32,2,0,10,0,10,4,0,0,2,21,9,1,4,0,0,9,8,0,0,0,4,3,0,1,3,0,10,0,0,0,5.454545454545454,0,5,10,66
33,9,0,19,0,17,9,0,0,3,22,5,0,5,0,0,16,6,0,0,2,7,10,9,1,2,2,1,1,0,1,5.405063291139241,1,4,9,79
34,7,0,22,0,21,18,0,0,2,42,11,0,4,0,0,19,11,0,0,1,10,8,9,3,4,5,11,1,2,4,5.508333333333334,1,7,13,120
35,0,0,5,0,4,2,0,0,1,6,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,5.5,0,1,3,14
36,6,0,15,0,13,7,0,0,0,22,9,0,4,0,0,16,5,0,0,0,5,5,3,2,3,3,15,2,0,3,5.582278481012659,2,9,8,79
37,4,0,10,0,16,1,0,0,0,20,7,0,4,0,0,21,8,0,0,0,3,3,2,1,1,3,14,1,0,4,5.229508196721311,2,4,8,61
38,7,1,15,0,13,5,0,0,1,21,4,0,7,0,0,19,5,0,0,2,2,3,13,2,3,1,4,0,0,1,5.616438356164384,0,6,8,73
39,1,0,8,0,4,2,0,1,1,9,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,1,0,1,5.071428571428571,1,2,2,14
40,1,0,22,0,12,8,1,0,5,22,6,0,3,0,0,15,3,0,0,0,3,8,1,4,0,2,9,0,0,3,5.357142857142857,0,2,8,70
41,4,0,16,0,6,5,0,0,1,17,2,0,2,0,0,3,9,0,0,0,7,6,3,2,1,3,4,0,0,2,5.446428571428571,0,3,3,56
42,4,0,13,0,9,1,0,0,1,17,3,0,3,0,0,4,4,0,0,0,6,4,2,1,0,1,5,0,1,1,5.285714285714286,2,9,5,49
43,1,0,3,0,4,1,0,0,0,4,0,0,1,0,0,4,2,0,0,0,2,1,2,0,0,1,1,0,0,0,5.666666666666667,0,1,2,12
44,2,0,10,0,8,0,1,0,2,9,0,0,0,0,0,5,2,0,0,0,1,4,0,2,0,0,7,0,0,2,5.0,1,0,3,26
45,2,0,6,0,7,3,1,0,3,10,2,0,1,0,0,12,6,0,0,0,4,5,2,2,0,2,6,0,0,3,5.148936170212766,0,3,3,47
46,2,0,13,0,11,3,0,0,1,19,2,0,1,0,0,11,3,0,0,1,5,7,6,1,1,3,2,0,0,1,5.239130434782608,0,1,2,46
47,5,0,12,0,11,1,0,0,3,17,3,0,2,0,0,10,7,0,0,0,2,3,6,2,1,2,4,0,0,2,4.851063829787234,1,2,6,47
48,3,0,16,0,9,0,0,0,1,18,9,0,4,0,0,4,4,0,0,1,2,3,0,2,0,1,8,1,0,1,5.705882352941177,0,5,5,51
49,2,0,13,0,12,7,0,0,2,19,1,0,3,0,0,13,6,0,0,0,3,5,2,3,2,1,10,2,0,3,4.890625,1,0,8,64
50,1,0,7,1,8,2,0,0,2,10,1,0,2,0,0,8,1,0,1,0,1,4,2,1,0,0,2,0,0,1,5.642857142857143,0,1,4,28
51,0,0,5,0,3,1,0,0,0,7,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,1,0,0,1,5.357142857142857,0,0,3,14
52,6,1,12,0,9,5,0,0,4,17,2,0,3,0,0,10,8,0,0,1,1,7,0,5,0,1,5,1,0,1,4.477611940298507,1,1,6,67
53,3,0,12,0,14,2,1,0,3,16,5,0,1,0,0,15,15,0,0,2,3,9,2,1,3,8,5,0,2,3,4.875,2,3,8,64
54,3,0,13,0,7,3,0,1,1,18,2,0,1,0,0,9,3,0,0,0,2,2,2,1,1,2,5,0,1,1,5.2682926829268295,1,2,6,41
55,14,0,31,0,32,11,1,0,2,49,11,0,6,1,0,28,11,0,0,2,6,9,9,6,4,3,19,3,1,5,5.130434782608695,1,11,17,138
56,8,0,13,0,16,6,1,0,3,21,7,0,2,0,0,8,5,0,0,1,7,10,1,4,1,0,10,2,0,0,5.666666666666667,0,8,7,69
57,3,1,10,0,11,3,1,1,0,21,4,0,5,0,0,9,3,0,0,0,4,5,4,2,0,1,4,0,1,1,5.92,2,5,6,50
58,2,0,11,0,12,1,1,0,2,17,3,0,2,0,0,9,7,0,0,0,2,4,3,6,0,2,3,1,0,2,5.612244897959184,0,2,5,49
59,4,0,14,0,8,3,0,0,2,16,6,0,2,0,0,4,6,0,0,1,3,6,1,3,0,1,9,0,0,3,5.6440677966101696,0,4,8,59
60,2,0,17,0,2,1,0,0,2,17,2,0,2,0,0,5,8,0,0,3,4,4,3,5,0,1,5,2,0,3,5.0576923076923075,0,1,4,52
61,2,1,13,0,9,1,0,0,0,18,2,0,2,0,0,9,3,0,0,1,1,0,1,0,0,2,6,0,0,0,5.5,0,2,5,40
62,1,0,8,0,7,0,0,0,0,7,1,0,0,0,0,3,1,0,0,1,1,2,2,2,0,1,3,0,0,1,4.277777777777778,1,1,1,18
63,0,0,10,0,9,1,0,0,0,8,17,1,2,0,0,3,1,0,0,1,2,1,7,0,0,0,3,0,1,3,5.880952380952381,3,4,5,42
