,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
0,11,0,17,0,18,7,0,1,1,25,9,0,9,0,0,17,8,0,0,1,1,3,5,2,4,2,7,0,0,3,5.7976190476190474,2,3,9,84
1,7,0,13,0,20,12,0,0,2,23,22,0,12,0,0,20,8,0,0,2,4,5,7,3,6,1,10,0,1,3,6.128440366972477,1,9,13,109
2,3,0,5,0,12,4,1,0,2,12,10,0,9,0,0,13,4,0,0,0,4,3,1,1,2,1,6,1,0,1,6.072727272727272,0,10,11,55
3,0,1,4,0,8,3,0,0,0,7,0,0,2,0,0,4,2,0,0,0,0,0,3,0,1,0,2,1,0,0,5.2,0,2,3,20
4,5,0,6,1,4,2,0,0,0,11,4,0,2,0,0,11,0,0,0,0,1,2,2,2,0,0,4,0,1,0,6.071428571428571,1,2,4,28
5,0,1,6,0,4,0,1,0,2,9,2,0,3,0,0,5,1,0,0,0,2,2,4,0,0,0,1,0,0,0,5.333333333333333,0,1,3,24
6,10,0,19,0,16,13,0,0,0,37,22,0,5,0,0,9,3,0,0,0,5,3,6,3,2,0,7,1,0,4,6.06,2,9,13,100
7,6,0,29,0,19,9,0,0,2,40,12,0,6,0,0,10,11,0,0,0,2,3,4,3,3,0,12,3,0,1,5.900900900900901,0,8,11,111
8,1,0,7,0,11,6,0,0,1,7,3,0,5,0,0,9,3,0,0,0,3,3,6,2,0,1,5,0,0,1,5.264705882352941,0,4,4,34
9,3,2,17,1,22,12,0,0,1,27,6,0,12,0,0,13,8,0,0,1,4,4,7,2,0,1,9,3,0,2,5.817204301075269,2,13,14,93
10,5,0,10,0,10,8,0,0,0,14,3,0,6,0,0,15,4,0,0,0,1,1,8,2,1,1,3,0,0,0,5.8979591836734695,0,2,6,49
11,5,0,6,0,10,6,0,0,1,13,3,0,6,0,0,18,2,0,0,2,3,2,10,3,1,1,4,1,2,2,5.769230769230769,2,2,6,52
12,6,2,30,0,16,13,0,0,0,40,6,0,7,0,0,16,1,0,0,0,4,2,5,6,7,8,19,0,1,6,5.428571428571429,3,5,22,126
13,8,1,23,0,20,13,2,0,1,29,21,0,15,0,0,16,9,0,0,1,6,6,5,2,5,10,15,3,0,2,5.829268292682927,1,16,16,123
14,3,0,12,0,6,7,0,0,0,10,2,0,1,0,0,13,3,0,0,1,1,0,2,3,3,4,6,0,0,0,5.2439024390243905,0,4,6,41
15,5,0,9,0,8,4,0,0,0,9,0,0,1,0,0,7,4,0,0,1,1,0,6,1,0,0,4,0,0,0,5.777777777777778,0,0,4,27
16,6,0,16,0,25,5,0,0,2,32,13,0,7,0,0,16,7,0,0,2,3,6,7,1,5,2,12,0,2,5,6.0,2,6,14,99
17,9,3,11,0,28,4,1,1,1,28,9,0,5,0,0,14,7,0,0,1,0,1,10,5,2,4,4,0,1,2,6.505747126436781,2,9,9,87
18,7,2,24,0,28,11,0,0,2,39,4,0,9,0,0,19,4,1,1,2,2,2,9,3,1,6,6,2,0,2,5.5,0,5,11,102
19,4,1,7,0,4,3,0,0,1,10,0,0,3,0,0,6,5,0,0,0,3,4,1,0,0,2,6,0,0,0,4.848484848484849,0,3,3,33
20,3,2,13,0,19,8,0,0,0,22,6,0,4,0,0,9,2,0,0,0,1,0,4,0,2,4,5,2,1,2,5.920634920634921,2,4,10,63
21,3,0,6,0,6,4,0,0,0,10,0,0,3,0,0,3,3,0,0,1,2,3,1,0,0,3,4,1,0,0,5.086956521739131,0,4,3,23
22,3,2,12,0,10,2,0,0,0,17,7,0,2,0,0,7,0,0,0,0,1,1,1,0,0,1,5,0,0,0,6.658536585365853,0,13,6,41
23,7,0,12,3,20,9,1,0,0,17,10,0,6,0,0,7,6,0,0,0,3,3,6,0,1,1,3,1,2,0,6.017241379310345,3,6,5,58
24,1,1,16,0,17,8,0,0,2,23,15,0,9,0,0,8,4,0,0,0,0,2,9,0,2,0,1,1,0,3,6.051282051282051,1,11,8,78
25,4,0,3,0,4,3,0,0,0,7,0,0,0,0,0,9,1,0,1,0,0,0,5,0,1,0,3,0,1,3,5.571428571428571,1,1,4,21
26,11,1,19,0,24,14,0,1,2,34,12,0,9,0,0,12,12,0,0,0,5,3,14,2,2,1,5,0,3,5,6.4,3,12,9,110
27,4,2,18,1,21,6,0,2,1,31,6,0,7,0,0,12,2,0,0,1,2,1,1,0,1,2,13,0,0,6,6.178082191780822,3,3,6,73
28,6,0,19,1,17,13,0,0,2,36,13,0,5,0,0,18,15,1,0,0,4,4,6,2,1,3,18,3,1,3,6.175438596491228,2,12,22,114
29,4,0,15,0,21,15,0,0,1,15,11,1,11,0,0,12,8,0,0,0,5,6,5,0,0,3,5,0,0,1,6.1625,1,5,9,80
30,0,0,6,0,6,0,0,0,0,8,0,0,3,0,0,12,3,0,0,0,3,3,7,1,0,0,3,0,0,6,5.03125,0,0,3,32
31,11,0,24,0,21,13,1,0,1,34,19,1,15,0,0,13,8,0,0,0,9,6,19,9,2,1,1,0,0,0,6.286885245901639,0,11,14,122
32,8,0,14,1,10,11,0,0,0,22,2,0,5,0,0,1,9,0,0,0,9,9,1,4,0,5,5,1,0,0,5.476190476190476,1,6,6,63
33,11,1,22,0,24,15,0,1,1,32,11,0,10,0,0,22,8,0,0,2,3,2,8,4,4,4,13,1,0,10,5.965217391304348,1,19,11,115
34,5,3,10,0,23,4,1,0,2,29,11,0,9,0,0,23,3,0,0,1,5,7,9,7,1,2,8,1,0,5,6.104651162790698,0,9,8,86
35,4,0,23,0,18,8,1,0,0,23,9,0,15,0,0,8,12,0,0,0,7,6,7,5,1,9,4,4,0,0,2.030201342281879,0,5,13,298
36,0,0,9,0,10,4,0,0,0,12,3,1,6,0,0,12,2,0,0,1,2,2,7,3,1,3,4,0,1,1,6.104166666666667,1,8,5,48
37,7,0,30,0,25,7,1,0,2,38,17,0,12,0,0,13,7,1,0,3,4,6,6,7,2,4,13,2,0,5,5.9411764705882355,1,20,14,119
38,5,1,18,1,23,6,1,1,0,24,5,1,5,0,0,13,5,0,0,1,4,3,3,2,3,1,10,2,0,2,6.081967213114754,2,2,8,61
39,6,0,14,0,22,7,0,0,2,26,3,0,8,0,0,22,5,0,0,0,2,6,7,7,0,0,4,0,0,2,6.037974683544304,0,5,11,79
40,2,2,14,0,20,9,0,1,3,23,10,0,7,0,0,15,3,0,0,0,0,3,7,1,0,2,6,0,0,4,6.011904761904762,0,3,10,84
41,4,0,12,0,6,5,0,0,0,15,2,1,5,0,0,10,3,0,0,0,2,0,4,3,1,3,5,0,0,1,5.770833333333333,0,1,5,48
42,2,0,6,0,6,5,0,0,0,8,6,0,1,0,0,4,2,0,0,0,2,3,1,0,0,0,5,0,1,1,5.172413793103448,1,1,2,29
43,3,0,7,0,5,0,1,0,0,6,4,1,3,0,0,2,0,0,0,0,0,0,1,0,0,1,2,0,1,0,5.235294117647059,1,2,3,17
44,11,1,21,1,29,13,0,0,2,46,19,0,11,0,0,25,9,0,0,0,4,4,6,1,4,6,6,2,0,4,6.446969696969697,2,8,17,132
