,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
0,11,0,19,0,23,15,9,2,2,39,13,0,21,0,0,8,13,1,1,1,6,10,1,13,1,13,4,0,2,2,6.182481751824818,2,18,13,137
1,14,1,24,2,41,8,1,0,5,53,11,0,17,0,0,42,21,0,0,0,7,21,5,2,3,18,8,0,2,4,5.0552147239263805,2,8,22,163
2,16,2,35,1,53,15,3,0,12,77,11,0,12,0,0,59,22,5,0,3,13,25,5,24,3,25,14,1,3,2,5.513513513513513,2,16,14,222
3,15,0,26,0,38,8,1,0,14,59,15,0,20,0,0,42,30,0,0,1,8,31,0,13,3,20,6,0,2,9,5.555555555555555,3,18,20,207
4,18,1,28,4,66,37,0,0,15,63,5,2,59,0,0,38,33,1,0,5,6,25,1,7,1,26,5,3,2,2,5.677655677655678,4,11,35,273
5,13,1,38,1,41,13,7,0,21,56,31,1,19,0,0,52,34,3,0,5,16,46,21,3,7,12,12,2,2,3,5.398496240601504,5,27,34,266
6,11,1,37,1,53,26,6,0,11,63,8,1,34,0,0,58,24,2,0,0,15,32,1,5,6,38,9,3,0,4,5.5807692307692305,3,2,34,260
7,13,2,56,0,65,26,4,0,7,113,37,0,35,0,0,40,31,2,0,3,16,22,8,16,7,33,15,0,2,2,5.683385579937304,2,34,41,319
8,7,1,29,0,35,11,0,0,5,65,8,0,15,0,0,28,18,0,1,1,11,17,2,8,4,14,11,2,0,2,5.260606060606061,0,3,19,165
9,23,2,48,0,56,27,5,0,19,72,50,0,31,1,0,48,47,1,0,2,13,40,11,14,4,23,7,5,2,1,5.5349544072948325,2,43,40,329
10,16,0,25,0,30,22,1,1,14,41,14,1,38,0,0,24,15,0,0,2,16,33,0,7,7,17,12,1,2,5,5.384615384615385,3,11,20,208
11,16,2,25,3,54,26,2,1,11,68,25,0,39,0,0,31,28,0,0,3,16,21,3,13,1,25,10,3,4,4,5.987603305785124,6,33,27,242
12,16,1,25,0,43,16,0,0,12,38,2,1,21,0,0,40,10,0,0,0,3,19,0,3,1,31,4,2,2,2,5.569343065693431,3,7,7,137
13,21,1,41,1,54,25,0,1,9,78,90,0,36,0,0,25,12,1,0,2,10,19,5,12,3,10,16,2,5,4,6.490066225165563,9,98,36,302
14,9,0,15,0,25,15,0,0,7,27,7,0,20,0,0,26,17,0,0,0,12,15,3,2,0,16,3,1,1,0,5.062015503875969,1,11,13,129
15,15,0,26,0,43,14,0,2,17,67,16,0,28,0,0,61,13,0,0,1,14,38,2,7,4,30,4,1,0,12,5.486363636363636,2,27,27,220
16,13,0,26,0,27,12,3,0,11,47,13,0,20,0,0,20,17,0,0,0,13,20,2,7,1,10,7,1,1,1,5.878787878787879,2,14,18,165
17,31,0,51,1,64,41,1,2,11,88,14,1,39,0,2,54,46,0,0,5,10,24,15,12,13,26,18,2,5,4,5.801302931596092,8,40,30,307
18,10,0,15,1,34,14,1,0,11,35,5,0,30,0,0,22,11,0,0,0,9,19,1,12,2,17,3,1,0,2,5.666666666666667,0,12,16,156
19,10,0,24,1,46,6,6,0,9,52,10,0,14,0,0,39,24,2,0,1,12,21,1,19,2,22,2,0,2,1,5.216931216931217,2,8,21,189
20,15,1,30,1,33,9,0,0,18,48,17,0,37,0,0,41,31,0,0,2,4,28,6,11,7,27,5,1,5,5,5.711627906976744,9,21,22,215
21,12,2,39,0,46,13,0,0,18,58,13,1,17,0,0,46,25,2,1,4,25,36,8,10,2,22,4,0,2,10,5.269911504424779,3,14,31,226
22,15,0,25,1,49,22,2,0,9,69,15,2,48,0,0,41,27,1,0,2,19,30,3,7,5,29,8,4,1,9,5.598513011152416,2,11,32,269
23,29,5,31,1,64,28,3,1,13,75,21,0,48,0,0,54,37,1,0,5,27,45,3,14,11,27,13,1,2,6,5.533742331288344,2,43,35,326
24,27,0,33,1,63,18,2,0,14,90,8,0,28,0,0,64,27,0,0,3,12,26,1,7,3,20,11,0,1,3,5.115241635687732,3,22,32,269
25,10,0,26,0,36,11,4,0,5,36,8,0,29,0,0,38,13,2,0,2,18,30,2,5,2,29,3,0,1,6,4.9879518072289155,1,14,23,166
26,8,0,10,0,27,7,1,0,4,23,16,0,20,0,0,19,8,0,0,0,10,10,1,7,0,9,3,0,2,1,5.348214285714286,2,14,5,112
27,13,0,30,1,40,15,1,1,3,49,22,0,21,0,0,48,22,1,1,1,16,24,4,15,4,25,12,1,3,6,5.257777777777778,5,30,21,225
28,20,0,25,0,31,30,1,0,18,59,13,0,27,0,0,28,27,4,0,3,20,31,1,6,4,19,6,1,1,2,5.592436974789916,2,12,22,238
29,11,0,24,0,52,10,0,1,4,49,20,0,21,0,0,20,17,0,1,1,4,6,2,13,4,17,8,0,4,1,5.529761904761905,4,29,20,168
30,14,3,34,0,52,25,0,0,4,60,14,0,16,0,2,54,30,1,0,1,7,14,17,11,4,22,11,1,3,4,5.582474226804123,6,22,21,194
31,9,0,20,1,34,5,4,0,6,38,5,2,35,0,0,12,16,0,1,1,6,10,0,10,0,17,2,0,0,1,5.916083916083916,0,2,24,143
32,15,1,37,1,63,16,0,1,18,70,20,0,38,0,0,44,18,1,0,2,5,25,1,17,3,22,7,5,1,1,5.558441558441558,2,30,27,231
33,7,0,12,1,12,6,2,0,7,25,19,0,3,0,0,14,3,0,0,0,3,9,0,1,2,7,1,1,0,2,5.573170731707317,0,16,8,82
34,23,1,35,4,54,25,0,1,14,71,12,0,32,0,0,48,24,0,0,5,18,36,11,9,8,23,9,2,2,1,5.471774193548387,2,21,14,248
35,14,0,38,1,28,27,2,0,18,61,37,1,37,0,0,20,18,1,0,1,13,25,12,3,17,18,10,0,1,7,6.582417582417582,1,34,43,273
36,25,3,50,1,75,36,3,0,7,115,29,0,56,0,0,33,30,2,0,2,16,22,10,16,11,23,11,4,0,0,6.382857142857143,0,31,38,350
37,26,0,15,3,35,19,1,4,8,45,28,0,29,0,0,40,23,0,2,2,19,23,3,2,4,27,4,5,1,6,5.844660194174757,5,37,14,206
38,4,0,38,0,62,27,1,0,4,83,29,0,41,0,0,39,23,1,0,0,11,14,1,14,7,30,16,1,2,6,5.916349809885932,8,38,22,263
39,2,0,21,4,30,5,1,1,8,23,2,0,24,0,0,12,31,2,0,1,4,16,0,5,1,18,5,0,0,1,5.715596330275229,1,3,9,109
40,23,3,40,0,50,23,1,1,1,94,62,1,46,0,0,38,26,0,1,2,11,18,10,6,11,22,21,1,2,3,6.268072289156627,1,71,37,332
41,11,2,14,0,26,12,0,1,7,41,13,0,24,0,0,16,29,0,1,0,7,20,2,5,2,16,6,0,5,1,5.734104046242774,5,10,20,173
42,15,1,32,0,57,22,6,0,16,68,21,0,46,0,0,28,24,5,0,2,19,31,8,12,12,21,8,0,0,1,6.5215827338129495,0,31,30,278
43,14,0,38,0,63,31,3,1,11,74,17,3,24,0,0,27,16,2,0,1,7,16,2,6,6,21,10,2,1,1,6.3534883720930235,1,25,35,215
44,10,5,49,2,44,23,3,0,13,77,24,0,31,0,0,24,12,0,0,1,14,32,5,4,2,14,23,2,1,2,5.88477366255144,2,15,29,243
45,19,1,42,2,72,31,5,0,11,82,17,1,29,0,0,57,19,2,0,4,16,35,12,15,5,29,7,3,2,6,5.447272727272727,4,17,37,275
46,8,3,10,0,37,9,1,2,5,28,11,0,26,0,0,39,9,0,0,0,3,7,4,3,0,22,2,1,0,0,5.4609375,0,15,28,128
47,21,0,37,3,41,18,0,0,13,57,22,0,21,0,1,23,17,0,0,3,12,26,0,6,3,16,12,2,1,0,4.969072164948454,1,24,18,194
48,23,0,48,3,61,33,0,0,17,85,6,0,28,0,0,39,31,1,1,2,16,33,2,6,5,14,19,5,3,8,5.392452830188679,11,34,13,265
49,19,1,38,1,52,26,3,3,18,67,16,0,44,0,0,48,30,0,0,1,20,43,0,6,4,33,12,3,5,3,5.464882943143813,7,32,28,299
50,11,0,30,0,53,20,3,0,14,42,8,0,26,0,0,48,14,0,0,3,9,20,3,3,2,30,9,4,1,6,5.2894736842105265,4,18,25,190
51,14,1,35,0,47,16,3,1,11,79,15,0,25,0,0,31,25,0,1,2,12,22,0,13,3,21,8,1,3,5,6.034188034188034,4,9,31,234
52,7,3,16,0,62,11,1,0,13,42,11,0,36,0,0,53,11,0,0,6,19,29,7,4,3,31,7,1,3,5,5.329896907216495,5,13,22,194
53,23,4,50,0,54,37,3,1,5,84,33,0,40,0,0,35,30,4,1,0,10,17,5,23,4,27,15,0,0,6,6.107023411371237,0,41,39,299
54,19,0,39,0,61,17,0,0,12,76,19,0,26,0,0,38,24,1,0,3,6,24,1,15,3,21,7,0,3,1,5.7615062761506275,3,16,26,239
55,10,3,29,0,34,9,1,1,11,37,8,0,20,0,0,33,19,0,0,3,9,21,4,1,5,24,8,1,0,2,5.229299363057325,0,8,17,157
56,16,0,37,3,30,16,3,1,14,51,24,0,31,0,0,40,16,0,0,7,13,27,9,8,4,21,3,1,4,1,5.764444444444444,4,21,26,225
57,8,2,13,1,19,7,1,0,3,30,10,0,17,0,0,9,4,0,0,2,2,5,2,4,2,6,2,2,0,0,5.6947368421052635,0,12,10,95
58,15,1,27,2,48,14,13,0,8,58,9,1,25,0,0,48,15,1,0,0,12,17,9,10,2,27,5,0,4,8,5.9162303664921465,3,9,23,191
59,10,0,23,1,32,9,0,0,6,47,30,0,18,0,0,27,18,0,1,1,11,22,3,4,1,22,4,0,1,0,5.435294117647059,0,34,18,170
60,15,0,28,1,45,24,3,0,5,53,13,1,35,0,0,39,10,0,0,0,9,13,9,7,4,19,13,2,2,6,5.941463414634146,5,22,23,205
61,12,1,35,1,46,13,4,0,7,63,19,0,30,0,0,25,19,1,0,2,8,14,9,6,7,18,9,1,1,2,5.995169082125604,4,29,22,207
62,20,0,45,2,57,20,0,0,19,61,42,0,43,0,0,52,17,0,0,1,16,37,8,4,3,33,10,7,1,1,5.73404255319149,2,33,22,282
63,23,0,40,2,30,17,0,0,10,57,16,0,22,0,0,27,18,1,0,2,7,17,2,4,1,21,5,2,1,6,5.047337278106509,2,16,14,169
64,9,1,34,0,37,10,1,0,2,57,10,0,25,0,0,25,9,1,0,3,4,10,1,5,2,23,2,2,1,5,5.562913907284768,4,4,17,151
65,14,2,21,0,33,11,3,0,14,51,9,0,15,0,0,40,12,3,0,4,15,28,0,3,3,22,6,0,2,10,5.138888888888889,2,19,23,180
66,7,0,19,1,21,14,2,0,5,20,6,0,17,0,0,19,9,0,0,2,4,10,0,8,1,18,3,1,1,0,5.5588235294117645,1,13,13,102
67,11,1,20,0,39,13,6,0,3,38,7,0,17,0,0,37,7,5,0,0,5,9,5,1,1,18,13,1,3,5,5.458646616541353,6,14,20,133
68,3,3,22,0,22,15,0,0,7,45,13,0,20,0,0,21,9,0,0,0,5,14,1,0,1,17,12,1,0,7,5.35374149659864,7,3,23,147
69,9,0,19,0,26,11,1,0,7,42,25,0,29,0,0,18,14,0,0,2,8,17,0,13,0,15,10,0,0,2,5.5182926829268295,1,22,22,164
70,10,0,23,0,50,26,2,0,3,63,50,0,45,0,0,33,16,0,0,0,10,15,7,5,5,24,20,0,0,2,5.803030303030303,2,55,22,264
71,23,1,57,1,61,15,2,1,4,92,19,0,29,0,0,56,27,0,0,4,15,19,15,9,4,32,10,0,9,5,5.0777777777777775,7,36,24,270
72,5,1,33,0,44,24,1,2,6,66,22,0,20,0,0,36,18,0,0,1,16,20,1,5,2,25,13,1,1,6,6.014634146341463,4,23,20,205
73,19,1,38,2,58,8,2,0,17,72,22,0,24,0,0,64,34,1,0,3,22,31,16,9,7,24,8,0,1,3,5.0108303249097474,1,19,40,277
74,21,3,44,0,61,27,3,2,9,58,8,2,33,0,0,56,19,1,0,2,16,28,9,5,11,28,12,1,0,3,5.779220779220779,1,10,21,231
75,6,4,25,0,31,21,0,1,2,55,30,0,22,0,0,20,11,0,0,0,1,6,2,7,4,14,14,1,2,0,5.994623655913978,2,18,28,186
76,26,4,38,1,36,27,3,0,31,65,14,0,33,0,0,50,24,4,0,3,25,52,1,2,0,27,10,4,3,7,5.345864661654136,4,14,28,266
77,13,0,16,3,41,5,0,0,6,34,10,0,11,0,0,38,10,0,0,2,8,18,1,11,0,24,4,0,4,4,4.759124087591241,5,8,22,137
78,18,1,38,2,54,19,7,1,6,78,29,1,34,0,0,66,28,1,0,3,15,15,3,18,6,44,20,1,1,6,5.485915492957746,3,31,41,284
79,11,3,22,1,34,9,2,0,8,27,5,0,16,0,0,40,22,0,0,2,8,15,17,5,4,19,4,2,0,4,4.725925925925926,1,14,15,135
80,27,3,36,0,51,22,7,0,11,80,19,1,30,0,0,67,28,1,0,6,23,29,1,24,1,36,8,2,2,9,5.5054945054945055,7,16,15,273
81,13,1,34,0,52,28,5,0,11,63,9,0,29,0,0,27,15,2,1,0,21,27,4,4,8,12,8,3,1,4,6.305418719211823,4,22,21,203
82,20,4,27,0,45,23,0,3,1,73,17,0,40,0,0,38,17,0,1,1,20,15,7,3,1,25,12,1,0,0,5.809322033898305,0,16,30,236
83,13,0,19,0,32,9,1,0,5,45,20,2,20,0,0,28,15,0,1,0,13,18,0,3,0,18,7,0,2,1,5.58235294117647,2,18,23,170
84,8,7,29,0,38,22,0,4,4,35,30,3,31,0,0,29,16,0,0,1,15,13,2,5,3,25,10,0,2,4,5.66497461928934,0,26,32,197
85,11,0,25,1,35,14,2,0,12,57,3,0,24,0,0,38,18,1,0,0,13,22,1,4,1,17,7,1,2,3,5.50828729281768,4,9,19,181
86,17,1,25,0,52,17,1,1,13,59,23,0,34,0,0,43,22,1,0,1,16,29,6,12,8,26,8,0,4,2,6.024390243902439,5,26,20,246
87,27,2,52,2,72,29,2,2,20,110,18,0,30,0,1,61,27,4,1,3,17,44,2,12,1,21,18,0,4,2,5.546511627906977,4,28,39,344
88,14,1,26,0,51,15,1,0,7,54,20,0,35,0,0,33,20,2,0,1,10,14,8,9,2,27,10,4,1,4,5.637614678899083,3,23,24,218
89,11,0,39,2,49,12,11,1,12,62,19,0,24,0,0,34,18,1,0,3,10,24,0,9,5,18,12,1,0,4,5.438095238095238,1,15,37,210
90,27,1,28,3,49,37,2,1,6,78,36,1,39,0,0,37,19,1,0,1,7,14,11,13,6,24,11,3,1,8,6.688976377952756,4,40,35,254
91,14,0,24,0,38,20,0,0,11,48,12,0,25,0,0,44,26,1,0,3,11,20,2,2,9,19,10,4,1,0,5.45273631840796,2,20,23,201
92,10,1,30,1,31,26,7,0,16,48,15,0,31,0,0,28,24,2,0,1,20,35,4,4,3,28,6,1,2,6,5.592417061611374,6,41,25,211
93,2,0,8,4,15,6,1,0,2,14,3,0,14,0,0,8,9,2,0,0,9,9,1,10,1,6,1,0,1,0,5.451612903225806,1,4,8,62
