,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
0,2,1,4,0,11,1,0,0,2,14,5,0,6,0,0,12,3,0,0,1,1,0,3,3,3,1,11,3,0,1,2,5.076923076923077,1,5,15,12,52
1,5,4,6,1,10,1,1,0,0,16,2,0,4,0,0,11,6,0,0,1,3,0,3,5,4,1,6,0,0,0,4,4.678571428571429,1,9,13,4,56
2,10,3,15,0,12,8,0,0,3,19,6,0,7,0,0,20,8,0,0,1,2,0,7,14,4,3,8,2,0,0,2,4.51063829787234,0,9,15,6,94
3,6,0,18,2,28,8,1,0,1,38,6,0,7,0,0,31,13,0,0,2,5,0,5,21,10,3,6,3,1,0,2,5.25,0,8,17,16,120
4,2,1,8,4,15,8,0,0,1,20,4,0,4,0,0,18,16,0,0,0,9,0,8,7,5,1,12,3,0,1,4,5.451219512195122,1,5,13,13,82
5,19,2,20,2,26,14,2,0,3,59,50,0,6,0,0,40,22,0,0,2,0,0,6,34,4,11,11,0,1,1,1,5.4324324324324325,1,43,23,35,222
6,8,0,11,0,11,4,1,0,2,26,9,0,2,0,0,24,18,0,0,1,8,0,10,2,4,3,10,9,0,2,5,4.645161290322581,2,8,16,12,93
7,3,4,13,0,11,4,0,0,1,16,12,0,4,0,0,19,6,0,0,2,1,0,4,10,2,2,2,6,2,0,2,5.3768115942028984,1,16,18,8,69
8,17,3,23,0,27,13,0,0,15,63,7,0,8,0,0,61,25,1,0,0,12,0,29,22,4,0,18,3,1,2,4,4.453271028037383,1,10,12,23,214
9,3,0,6,0,9,6,0,0,2,14,3,0,3,0,0,11,5,0,0,0,3,0,5,0,2,1,7,7,0,0,1,4.811320754716981,0,3,10,10,53
10,8,0,8,2,11,7,2,1,0,12,7,0,4,0,0,27,17,0,0,4,14,0,8,21,4,0,10,2,1,0,6,4.346938775510204,1,11,16,10,98
11,4,1,11,0,13,7,0,0,0,21,7,0,6,0,0,11,4,1,0,1,4,0,4,12,6,2,1,0,0,0,0,5.208333333333333,0,11,19,10,72
12,9,2,20,2,26,9,0,3,1,27,11,0,6,0,0,23,5,0,1,1,5,0,5,19,3,2,1,3,0,2,1,4.783505154639175,2,20,17,12,97
13,9,4,19,1,18,7,0,1,0,29,9,0,4,0,0,22,5,0,0,3,2,0,0,21,3,4,2,0,0,1,1,4.544444444444444,1,8,14,11,90
14,16,0,17,1,17,9,0,1,0,27,8,0,8,0,0,14,13,0,0,1,2,0,6,7,4,2,3,7,0,1,1,4.911111111111111,2,12,12,5,90
15,12,1,12,0,14,13,0,0,0,30,15,0,7,0,0,24,2,0,0,0,5,0,4,21,3,0,0,1,1,0,2,4.5673076923076925,0,18,16,15,104
16,14,4,18,1,24,6,1,0,2,39,22,0,5,0,0,23,6,0,0,1,9,0,13,16,5,2,3,8,3,1,0,5.363636363636363,1,27,17,17,121
17,5,0,9,0,11,9,0,0,1,15,7,0,7,0,0,5,4,0,0,0,2,0,2,10,1,2,1,0,1,0,0,5.573770491803279,0,15,16,8,61
18,10,1,6,0,10,3,0,0,2,22,13,0,4,0,0,40,10,0,0,4,6,0,5,30,6,4,4,0,0,0,2,4.392857142857143,0,11,21,12,112
19,2,0,18,2,16,4,0,0,0,26,2,0,1,0,0,20,6,0,0,0,6,0,7,19,7,0,0,0,0,2,1,4.676056338028169,2,5,14,13,71
20,5,3,16,2,16,9,0,0,1,15,8,0,6,0,1,18,7,0,0,3,6,0,8,20,2,1,3,0,1,1,1,4.604938271604938,2,6,18,10,81
21,8,0,20,0,19,11,0,0,1,32,4,0,8,0,1,20,13,0,0,1,9,0,8,23,4,5,4,2,2,0,1,4.871559633027523,0,2,24,17,109
22,7,0,24,0,20,8,0,2,2,30,14,0,1,0,0,19,11,0,0,2,7,0,7,19,4,1,3,3,0,0,1,4.715686274509804,0,13,17,13,102
23,12,0,5,0,16,7,1,1,1,23,5,0,14,0,0,33,15,0,0,0,5,0,6,11,5,2,17,5,1,1,2,5.08256880733945,2,9,16,20,109
24,2,1,9,0,12,5,0,0,0,13,1,0,1,0,0,24,10,0,0,1,9,0,8,23,6,5,0,2,0,0,8,4.291666666666667,1,3,16,6,72
25,4,0,2,0,6,7,0,0,0,11,3,0,6,0,0,20,10,1,0,1,2,0,4,1,2,0,12,7,0,2,2,4.650793650793651,3,10,9,10,63
26,1,0,5,0,3,3,0,0,1,11,0,0,1,0,0,7,3,0,0,0,2,0,2,0,3,0,3,2,0,0,4,5.607142857142857,0,2,6,6,28
27,7,3,11,1,8,3,0,1,0,26,8,0,1,0,0,13,5,0,0,0,2,0,1,1,1,0,4,5,1,0,3,4.351851851851852,0,10,10,6,54
28,7,1,13,0,16,13,0,0,1,37,66,0,6,0,0,28,12,0,0,2,15,0,3,25,12,4,4,0,2,0,2,5.218390804597701,2,62,17,14,174
29,6,0,9,0,17,6,1,1,9,25,6,0,2,0,0,35,12,1,0,0,8,0,18,3,0,1,11,3,0,0,0,4.473118279569892,0,8,16,13,93
30,22,3,18,0,37,11,2,2,3,51,27,0,8,0,0,52,15,1,1,0,3,0,9,20,5,8,12,15,0,0,6,5.226993865030675,2,29,15,23,163
31,3,1,8,0,11,8,0,1,3,12,3,0,8,0,0,13,6,0,0,0,4,0,7,0,3,1,11,6,1,0,2,5.898305084745763,0,5,11,10,59
32,4,3,11,0,9,9,0,0,0,25,12,0,3,1,0,7,9,0,0,0,4,0,4,16,5,0,2,2,0,0,2,5.2988505747126435,0,20,19,4,87
33,12,4,57,0,38,16,0,0,4,70,53,0,20,0,0,16,14,2,0,3,7,0,9,39,5,4,1,4,0,1,2,5.705882352941177,1,61,24,35,238
34,5,1,15,0,19,6,0,0,1,18,18,0,5,0,0,19,5,0,0,3,7,0,6,16,4,1,3,2,0,0,3,5.076086956521739,1,13,18,14,92
35,3,2,12,0,23,16,0,1,3,26,0,0,4,0,0,35,17,0,0,0,14,0,11,18,5,1,6,3,0,0,1,4.452173913043478,0,4,16,17,115
36,8,1,9,0,25,6,0,0,1,20,8,0,5,0,0,24,13,0,0,1,11,0,12,18,3,1,2,1,0,0,0,4.326086956521739,0,16,20,9,92
37,9,2,12,1,16,4,1,0,1,22,5,0,5,0,0,31,13,2,0,2,7,0,6,24,3,4,4,0,0,0,3,4.337209302325581,0,4,12,8,86
38,9,2,15,0,21,11,1,0,1,30,13,0,6,0,0,46,3,0,0,2,9,0,9,27,10,1,4,0,0,0,2,5.446969696969697,0,14,19,15,132
39,6,1,5,0,9,4,0,0,3,19,8,0,6,0,0,16,6,0,0,0,4,0,9,0,1,1,8,9,3,2,2,5.730769230769231,2,10,10,12,78
40,1,1,1,0,0,1,0,0,0,13,7,0,0,0,0,6,3,0,0,0,2,0,2,4,1,0,2,0,0,0,0,4.382352941176471,0,10,7,4,34
41,2,0,17,0,10,11,0,0,0,21,2,0,4,0,0,7,3,0,0,0,5,0,6,3,9,0,3,3,0,2,2,5.629032258064516,2,2,16,8,62
42,6,2,20,1,21,13,0,0,2,19,4,0,9,0,0,23,7,0,0,1,9,0,12,12,2,2,10,3,0,1,6,5.2625,2,8,12,9,80
43,3,1,3,0,3,7,0,0,0,17,0,0,0,0,0,7,5,0,0,0,7,0,5,7,1,3,1,1,0,0,2,3.8,1,6,12,5,50
44,8,0,16,0,29,12,3,0,2,36,2,0,4,0,0,26,10,0,0,2,14,0,13,23,7,2,4,0,0,0,3,4.733333333333333,1,15,20,15,120
45,10,2,11,0,26,6,1,0,1,34,38,1,9,0,0,23,12,1,0,0,7,0,3,13,4,8,4,4,3,0,1,5.280575539568345,0,37,24,21,139
46,5,1,10,2,15,11,0,0,2,18,2,0,4,0,0,14,6,0,0,1,9,0,8,15,2,0,1,0,0,1,5,4.344262295081967,1,4,9,5,61
47,3,1,6,0,2,3,0,0,0,12,2,0,0,0,0,9,3,0,0,0,7,0,5,10,0,0,0,0,0,0,3,4.405405405405405,0,2,9,7,37
48,8,3,13,0,16,14,0,0,1,34,13,0,5,0,0,45,17,0,0,3,6,0,10,29,8,5,13,1,0,1,4,4.5,1,12,20,22,156
49,3,1,13,0,25,10,0,0,2,33,8,0,5,0,0,34,7,0,0,0,8,0,8,22,5,5,1,1,0,1,3,4.663636363636364,1,9,16,15,110
