,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,score,sentenceNumber,wordNumber
0,7,2,11,0,14,4,0,0,2,17,14,1,6,0,0,20,2,0,0,0,3,3,15,4,3,1,0,0,0,3,5.538461538461538,0,9,2,9,78
1,6,0,10,0,20,8,2,0,2,14,11,0,14,0,0,23,11,0,0,0,8,10,8,4,1,3,6,0,0,6,5.842696629213483,0,2,2,8,89
2,4,0,16,0,13,5,2,0,0,22,10,0,10,0,0,4,3,0,0,0,4,2,6,0,2,3,3,0,0,0,6.34375,0,9,3,7,64
3,7,0,7,0,8,3,0,0,2,9,3,0,7,0,0,4,1,0,0,0,2,4,3,2,2,1,3,0,1,2,5.9375,1,11,1,4,32
4,8,0,9,0,16,8,0,0,0,17,8,0,8,0,0,16,7,0,0,1,5,2,10,2,2,0,7,1,0,0,6.016129032258065,0,6,3,9,62
5,10,0,20,0,18,12,0,0,2,29,3,0,9,0,0,13,6,0,1,1,2,2,4,2,1,4,10,0,0,1,5.626506024096385,0,1,3,7,83
6,9,2,20,0,25,3,1,2,4,28,21,0,11,0,0,10,7,0,1,0,1,6,5,2,2,3,2,1,0,4,6.0576923076923075,1,9,3,12,104
7,13,0,28,0,28,11,1,0,2,46,2,0,14,0,0,18,13,0,0,0,2,5,14,2,4,1,5,1,1,1,5.991869918699187,1,5,4,14,123
8,6,1,12,0,21,10,0,0,1,27,17,0,8,0,0,13,5,0,0,1,6,6,5,4,3,1,8,2,0,1,6.566265060240964,1,10,3,11,83
9,7,1,16,0,15,5,1,0,2,23,3,0,4,0,0,16,8,0,0,1,5,5,10,3,2,6,6,2,1,4,5.662162162162162,5,6,3,11,74
10,2,0,7,0,3,2,0,0,0,7,8,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,4,0,0,0,4.826086956521739,0,6,1,2,23
11,8,0,26,0,27,10,0,0,6,28,1,0,13,0,0,31,6,0,0,0,1,6,3,4,2,12,10,0,4,1,5.237623762376238,4,0,1,12,101
12,5,0,9,1,14,1,1,0,0,14,8,0,3,0,0,6,5,0,0,0,1,1,2,0,0,2,4,0,0,2,5.578947368421052,0,3,1,5,38
