,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,NONE,PDT,PRP,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,averageWordLength,clauseWordNumber,missSpelling,sentenceNumber,wordNumber
0,14,0,14,0,13,10,0,0,0,16,10,0,5,0,1,17,14,1,0,1,8,0,6,15,6,2,4,1,0,0,0,5.368421052631579,0,8,10,76
1,19,1,25,0,30,7,0,1,1,54,21,0,4,0,1,55,19,0,0,5,8,0,6,38,2,4,9,1,1,0,6,4.406060606060606,2,30,15,165
2,6,1,9,0,14,7,1,0,1,22,3,0,1,0,0,27,10,0,0,0,2,0,2,16,1,7,1,2,0,0,2,4.7272727272727275,0,4,14,77
3,6,1,2,1,9,4,2,0,1,7,7,0,2,0,0,16,5,0,0,1,4,0,4,11,3,0,2,0,0,0,1,4.804878048780488,0,9,4,41
4,16,1,19,1,24,6,0,0,1,30,21,0,6,0,0,20,8,1,0,3,2,0,5,29,7,5,0,1,1,0,1,5.274336283185841,0,17,16,113
5,3,3,8,0,12,6,1,0,0,19,5,0,2,0,0,19,8,0,0,0,6,0,6,15,1,1,3,1,2,0,4,4.115384615384615,0,9,12,78
6,12,2,7,1,15,13,2,0,6,19,9,1,9,0,0,29,18,1,0,3,9,0,20,1,14,1,17,7,0,3,1,4.977099236641221,3,6,21,131
7,8,0,5,0,10,2,0,0,0,19,6,0,1,0,0,23,14,0,0,0,12,0,9,18,3,2,2,1,0,0,2,4.82051282051282,0,5,11,78
8,3,4,16,3,22,9,1,0,1,33,5,0,9,0,0,17,12,1,1,0,5,0,3,4,8,8,11,3,1,0,4,5.1938775510204085,0,12,9,98
9,18,3,24,2,18,13,1,0,0,51,26,0,3,0,0,38,16,0,0,7,10,0,5,41,3,5,5,1,2,0,1,4.808917197452229,1,26,26,157
10,7,0,11,0,17,8,0,0,3,26,29,0,5,0,0,43,15,0,0,1,4,0,10,36,6,3,3,3,0,0,2,4.561643835616438,0,21,25,146
11,12,0,16,0,16,7,0,1,0,23,20,0,11,0,0,28,13,0,0,5,8,0,13,5,4,2,14,6,0,2,1,4.666666666666667,0,15,20,135
12,5,2,9,0,5,2,0,0,1,15,8,0,3,0,0,16,2,0,0,1,5,0,5,14,0,2,1,0,0,0,1,3.6296296296296298,0,9,7,54
13,1,1,18,0,15,4,0,2,0,20,24,0,3,0,0,4,6,0,0,0,5,0,2,13,2,2,0,1,0,0,2,4.785714285714286,0,27,9,84
14,6,3,17,0,18,4,1,1,0,36,18,0,7,0,0,14,14,0,0,1,4,0,3,15,3,2,4,1,1,0,3,5.136363636363637,0,23,17,110
15,3,2,7,0,18,9,2,0,2,20,6,0,5,0,0,27,10,0,0,1,3,0,2,17,3,2,2,0,3,1,3,4.584415584415584,2,5,9,77
16,12,2,5,0,14,5,0,0,0,16,0,0,4,0,0,18,7,0,0,1,2,0,4,8,5,2,3,1,0,0,2,4.5,0,2,7,56
17,9,1,10,0,16,8,0,0,1,16,10,0,10,0,0,15,11,0,0,0,5,0,8,0,7,0,18,1,0,1,1,5.6455696202531644,1,10,9,79
18,15,1,14,1,20,5,0,0,2,36,37,0,4,0,0,35,9,0,0,6,8,0,8,35,5,2,7,0,0,0,2,4.7988505747126435,0,31,24,174
19,7,4,11,1,13,4,0,1,0,17,1,0,6,0,0,12,12,0,0,1,3,0,2,21,0,1,0,0,3,0,1,4.3768115942028984,0,1,12,69
20,7,4,6,0,8,7,2,0,2,10,3,0,1,0,0,17,9,0,0,2,4,0,6,13,6,3,4,1,0,0,3,4.256756756756757,0,4,3,74
21,7,4,13,0,27,4,2,0,10,34,12,0,5,0,0,24,14,0,0,2,4,0,16,1,8,2,3,10,0,1,0,5.178571428571429,1,10,16,112
22,5,1,9,1,14,8,1,0,1,17,1,0,2,0,0,24,8,0,0,3,5,0,7,13,5,3,5,1,0,0,1,5.0,0,5,10,73
23,12,2,14,1,15,3,2,1,0,25,25,0,7,0,0,33,13,0,0,1,6,0,5,37,8,5,6,0,0,0,0,5.020689655172414,0,28,22,145
24,17,3,36,2,34,5,0,0,1,60,50,0,10,0,0,25,16,0,0,3,19,0,16,35,7,6,5,1,1,1,3,5.170403587443946,1,59,30,223
25,6,1,10,0,12,4,0,1,0,17,2,0,7,0,1,19,6,0,0,0,8,0,6,15,0,2,5,0,1,0,1,4.864406779661017,0,2,9,59
26,11,3,16,1,20,9,0,0,0,39,20,0,6,0,0,31,8,0,0,2,5,0,6,29,5,4,2,2,0,0,2,4.6,1,18,24,135
27,8,3,15,0,16,8,0,0,1,27,7,0,5,0,0,22,11,0,0,1,11,0,7,22,4,2,7,3,0,0,1,5.0625,0,11,10,96
28,8,1,17,1,13,5,0,0,0,20,4,0,5,0,0,10,7,0,0,1,3,0,3,15,2,1,1,0,0,0,1,4.75,0,2,14,68
29,9,1,7,0,20,14,2,0,3,31,27,0,11,0,0,38,37,0,0,0,16,0,18,26,5,4,3,7,0,0,4,4.850574712643678,1,29,16,174
30,2,3,8,1,9,4,0,0,1,12,17,0,5,0,0,5,5,0,0,1,3,0,4,9,1,0,1,1,1,1,0,5.732142857142857,1,20,9,56
31,5,0,4,0,12,10,0,0,7,12,6,0,3,0,0,17,7,0,0,0,0,0,10,3,3,1,5,2,0,2,1,5.338461538461538,3,2,10,65
32,7,3,37,2,42,15,2,2,5,53,32,0,12,0,0,40,21,0,1,4,4,0,9,31,6,4,4,9,1,1,4,5.267942583732057,2,31,27,209
33,5,5,21,2,17,8,2,1,3,46,19,0,13,0,1,34,15,0,0,2,8,0,11,11,3,7,7,11,0,0,5,4.948387096774193,0,13,26,155
34,9,1,17,0,9,7,1,1,1,31,7,0,4,0,0,18,8,0,2,2,6,0,7,18,3,2,1,1,0,0,2,4.769230769230769,0,4,15,91
35,17,1,20,1,30,7,0,0,2,69,23,0,3,0,1,44,19,0,0,7,14,0,16,30,4,5,5,4,1,1,1,5.753012048192771,2,16,18,166
36,4,3,12,0,16,9,0,0,1,22,7,0,8,0,0,26,10,0,0,0,5,0,6,15,3,3,3,1,1,0,1,4.956521739130435,0,5,11,92
37,5,2,4,0,13,1,1,0,3,14,3,0,3,0,0,22,6,1,0,0,6,0,9,11,3,3,5,1,1,4,2,4.564516129032258,3,6,8,62
38,11,1,37,0,48,13,0,4,2,67,21,0,10,0,0,36,16,1,0,5,9,0,11,33,7,4,2,2,2,0,3,6.643243243243243,1,22,11,185
39,12,0,28,2,27,12,1,0,5,59,86,0,13,1,0,36,24,0,0,5,19,0,23,55,8,0,10,3,0,0,4,4.96,1,86,40,325
40,7,1,27,1,27,8,0,1,1,48,10,0,7,0,0,32,10,0,0,1,10,0,7,26,3,4,7,1,0,0,6,4.563380281690141,0,10,20,142
